customerid,age,tenure,usage_frequency,support_calls,payment_delay,total_spend,last_interaction,gender_Male,subscription_type_Premium,subscription_type_Standard,contract_length_Monthly,contract_length_Quarterly
3455,37,14,12,8,15,335,15,False,False,True,False,False
18857,54,46,21,7,9,336,18,True,False,True,False,False
56112,26,48,17,6,18,596,7,True,True,False,True,False
25911,49,24,26,0,26,425,11,False,False,False,False,False
28594,52,55,28,7,20,154,26,True,False,False,True,False
51333,32,57,23,6,19,247,1,True,True,False,False,True
52609,27,40,4,5,27,572,16,True,True,False,False,False
21435,31,33,23,5,15,992,13,False,True,False,False,False
35409,53,44,30,10,17,967,4,True,True,False,True,False
46752,39,30,5,7,29,875,8,False,True,False,False,False
39829,52,1,18,8,1,202,21,False,False,True,True,False
17504,48,9,18,10,28,728,10,False,False,False,False,False
41706,52,10,16,6,15,453,19,True,False,False,True,False
667,19,10,5,3,20,536,4,False,True,False,False,True
55652,39,48,21,7,20,848,28,True,True,False,True,False
6549,61,54,2,10,23,411,17,True,True,False,True,False
38827,41,36,7,4,0,250,4,False,False,True,False,False
35286,24,30,20,10,25,473,27,False,False,True,False,True
39039,49,31,12,10,21,160,9,True,False,True,True,False
33468,20,54,24,6,12,851,8,False,False,False,False,True
19331,35,50,30,0,27,431,26,True,True,False,True,False
8229,49,1,24,4,21,335,16,True,False,False,False,True
47410,27,27,22,3,23,456,1,False,False,True,True,False
21705,20,26,19,8,7,734,4,False,True,False,False,False
8203,47,4,7,2,27,524,3,False,False,True,True,False
51950,52,31,9,8,26,796,19,True,False,False,False,False
24947,50,41,10,3,12,690,29,True,True,False,False,False
54985,20,1,19,8,28,399,6,False,False,True,False,False
6464,20,41,20,7,22,731,6,True,False,True,True,False
60534,41,6,16,0,26,474,25,False,True,False,True,False
27969,40,28,4,7,29,812,28,True,True,False,False,False
50829,51,25,15,4,25,363,13,False,True,False,False,False
27683,30,12,9,8,2,819,9,False,False,True,False,True
12546,63,26,14,0,29,577,25,True,False,True,False,False
44007,52,21,17,0,28,673,13,True,False,True,False,False
40538,33,60,11,10,21,350,16,True,False,False,True,False
58284,37,24,19,6,17,269,23,False,False,False,False,False
14076,49,19,20,9,11,420,10,True,False,False,True,False
59909,36,43,17,8,18,516,2,True,True,False,False,True
12655,57,23,19,9,18,366,6,False,False,False,False,True
58414,19,36,4,5,25,893,5,True,False,True,True,False
19037,52,13,4,2,17,746,15,False,False,True,False,False
37210,41,3,13,4,17,440,7,False,False,False,False,False
16448,62,10,28,10,23,768,19,False,False,True,True,False
36622,35,44,30,4,27,633,14,False,False,True,False,False
7439,59,22,19,9,28,510,29,False,True,False,True,False
39142,29,30,1,6,5,198,4,False,False,True,False,False
37542,57,53,5,1,10,553,9,True,True,False,False,False
43718,47,35,6,6,22,256,18,False,False,False,False,True
42845,32,12,17,8,4,215,11,False,False,True,False,False
8980,37,41,7,6,25,891,15,False,False,False,True,False
43444,35,44,16,4,1,345,13,True,True,False,True,False
53427,29,1,2,1,22,648,27,False,False,False,False,False
14290,35,53,13,5,16,111,20,False,True,False,True,False
24721,34,14,28,5,14,375,20,True,False,False,True,False
22837,44,18,7,9,21,307,6,True,True,False,True,False
4846,61,45,27,9,19,790,14,False,False,True,True,False
28658,22,41,14,5,2,638,2,True,False,True,True,False
10137,35,27,13,9,17,108,29,False,True,False,True,False
35916,63,14,21,10,12,502,8,False,False,True,True,False
29395,30,7,23,6,8,410,19,False,True,False,False,False
36875,20,48,30,8,14,657,9,True,False,True,False,True
51285,63,56,2,6,9,347,25,True,False,True,True,False
48415,59,47,2,10,24,953,17,False,True,False,True,False
2218,18,22,21,0,21,675,19,True,False,False,False,False
34577,28,38,22,5,10,903,21,True,False,True,False,True
27873,18,59,5,9,19,447,26,True,False,True,False,False
19325,53,29,15,6,27,446,13,False,False,True,True,False
21566,63,55,19,7,5,443,7,True,False,False,False,False
33388,39,36,9,4,10,456,7,True,False,False,False,True
41786,30,9,9,9,9,707,10,True,True,False,False,False
53325,27,13,23,10,25,223,20,False,True,False,True,False
34975,53,39,14,8,9,826,16,False,False,False,False,False
58905,33,34,12,6,28,140,21,False,True,False,False,False
17693,40,14,3,0,2,198,20,True,False,False,False,True
27964,53,11,18,7,23,703,3,True,False,True,False,True
42975,25,24,18,4,13,408,17,True,True,False,False,False
13198,18,6,17,4,6,351,7,True,True,False,True,False
47398,59,9,6,6,22,934,13,False,True,False,True,False
20819,60,8,7,0,28,118,7,False,False,True,True,False
50510,31,45,4,9,20,344,24,True,False,False,False,True
61087,44,42,25,9,26,361,12,True,False,False,False,False
20844,60,22,22,2,17,809,29,False,True,False,False,False
27968,29,24,16,2,23,501,30,False,False,True,False,False
20207,44,51,27,4,7,975,13,True,False,False,True,False
57834,37,57,29,8,30,288,21,False,True,False,False,True
55890,21,25,24,5,21,827,6,True,False,True,False,False
46383,28,29,15,6,16,522,12,True,False,False,True,False
37128,45,19,2,1,28,495,1,False,True,False,True,False
34267,54,29,24,8,4,604,13,False,True,False,False,True
50800,51,33,3,9,29,787,8,True,False,False,False,False
19817,59,39,10,7,3,894,23,True,False,True,True,False
40466,60,57,2,3,0,554,19,False,True,False,False,False
393,47,12,18,1,13,872,24,False,True,False,False,False
39823,18,13,5,10,29,707,5,True,True,False,False,False
45679,55,42,18,2,2,193,10,False,True,False,False,False
53987,62,40,4,7,22,554,8,False,True,False,False,False
34631,33,22,16,2,21,506,17,True,True,False,False,True
51976,44,28,17,5,16,546,6,True,False,False,False,True
27881,61,41,21,10,8,977,21,True,True,False,True,False
41916,18,23,26,4,21,704,6,False,False,False,False,False
29309,48,19,22,9,26,341,26,False,True,False,False,True
37122,41,26,27,7,11,950,17,True,True,False,True,False
19468,36,47,27,10,9,813,30,False,False,True,False,False
8168,20,50,21,1,4,589,20,False,True,False,False,True
14318,39,60,29,3,18,409,7,False,False,True,True,False
23806,18,8,30,8,18,351,26,True,False,True,False,True
20511,63,51,15,5,0,262,25,False,False,True,False,False
13922,45,19,2,10,15,598,6,True,False,False,False,True
58293,30,57,5,6,26,806,12,False,False,True,False,False
23384,35,53,25,3,14,772,19,False,False,False,True,False
43075,45,45,5,5,5,206,28,False,True,False,False,False
8108,35,42,27,0,9,662,28,True,False,False,False,True
44830,48,17,16,10,26,730,13,False,False,True,False,True
63811,28,39,13,5,30,163,16,True,False,True,False,True
21454,65,49,21,6,8,157,29,False,False,True,False,True
5627,56,7,5,4,17,830,18,True,True,False,False,False
22146,63,44,23,10,6,364,25,True,False,False,True,False
6480,47,23,10,2,16,737,9,True,False,True,False,False
43987,31,12,20,1,21,808,11,True,False,False,False,True
36070,56,11,28,9,8,505,15,True,False,False,True,False
61001,28,29,17,6,22,162,30,True,True,False,False,False
21667,18,12,4,1,21,467,5,True,False,True,False,True
54613,57,55,5,8,7,236,11,False,False,False,False,True
52330,31,16,13,10,24,917,11,False,False,True,True,False
10047,65,49,1,1,19,210,24,False,True,False,True,False
58760,18,41,3,7,22,988,6,True,False,False,True,False
4527,53,32,9,4,29,295,27,True,False,False,False,True
40566,60,15,30,3,5,320,26,False,True,False,False,False
8855,26,9,3,0,25,907,15,False,False,False,False,False
3594,27,42,20,8,15,154,2,True,True,False,False,True
10247,21,46,28,9,5,670,24,True,False,False,False,False
37541,47,60,22,9,14,949,17,False,True,False,False,True
47195,28,41,5,6,24,996,20,False,False,True,True,False
17339,20,37,1,0,10,922,20,False,False,False,False,False
25418,63,30,2,4,0,535,1,True,False,True,False,True
35476,28,21,26,7,26,802,12,True,False,True,True,False
38588,57,7,3,7,7,354,20,True,True,False,True,False
17733,61,39,7,0,12,824,8,False,False,True,False,True
45234,45,58,25,4,28,871,24,False,False,False,False,False
28142,45,25,11,2,7,177,1,False,False,False,False,True
13928,63,47,14,8,23,659,26,False,False,True,False,True
36327,54,7,26,4,5,717,26,False,False,True,True,False
21037,34,54,24,5,6,160,6,True,True,False,False,False
27657,54,37,27,5,21,803,2,True,False,False,False,False
12015,63,1,18,5,28,770,29,False,True,False,False,True
61631,60,53,9,7,17,583,28,False,False,False,False,True
10310,64,54,23,7,28,648,19,False,True,False,False,False
556,18,3,30,5,28,647,12,False,False,True,False,False
42617,62,1,13,9,10,743,7,False,False,True,False,True
39343,56,53,27,4,26,318,15,True,False,False,False,False
10758,50,57,15,6,2,771,11,True,False,False,True,False
29450,31,41,16,1,3,899,24,False,False,False,False,False
60555,33,40,18,9,21,721,9,False,False,True,False,True
2528,25,41,9,10,9,276,14,False,False,False,True,False
26146,27,37,2,1,27,577,16,True,False,True,False,True
16046,34,26,6,7,11,389,22,False,True,False,False,False
26290,50,25,5,3,14,444,2,False,False,False,False,False
61226,57,7,3,8,15,411,6,False,False,True,False,True
38079,37,26,11,3,29,375,15,True,False,False,False,False
26218,48,50,11,4,5,366,15,True,False,False,True,False
47366,46,50,3,5,28,675,12,False,False,True,True,False
54106,60,49,10,9,29,930,11,False,False,True,False,False
4679,55,39,15,10,2,167,7,True,False,True,False,False
13485,56,22,1,3,17,980,16,False,False,False,True,False
46423,49,57,8,4,27,109,11,False,False,False,False,False
55046,43,38,27,5,27,713,29,True,False,True,False,False
39671,59,9,3,5,24,547,26,False,False,False,False,True
1486,60,44,5,9,26,410,7,False,True,False,False,False
50749,20,18,2,0,2,150,18,False,False,False,False,False
37223,52,8,1,9,22,713,11,False,True,False,False,True
16316,24,30,7,3,0,300,13,True,False,True,True,False
7013,19,8,5,5,11,770,5,True,False,True,True,False
1368,28,36,16,9,5,499,23,False,True,False,True,False
13777,19,12,26,8,19,289,21,True,False,False,True,False
49085,50,60,22,10,24,809,30,True,False,True,False,True
47642,21,38,4,8,25,269,14,False,False,True,False,False
18646,31,60,22,6,14,167,28,False,True,False,False,True
26715,24,54,18,0,6,931,27,True,True,False,True,False
57194,25,30,11,9,24,982,20,False,False,False,False,False
22336,46,51,11,9,15,744,9,False,False,True,True,False
386,41,41,15,10,27,814,19,False,True,False,False,True
30436,33,19,17,2,6,797,15,False,False,True,False,True
36734,29,16,3,7,14,727,25,True,False,False,True,False
35777,18,31,15,2,25,193,16,False,False,True,False,False
28397,33,54,5,2,14,949,5,False,False,False,False,False
61826,33,5,29,1,23,422,28,False,False,False,False,False
14527,53,29,13,4,14,403,11,False,False,False,False,False
39359,41,33,18,0,18,725,21,True,True,False,True,False
39453,47,41,7,3,21,962,11,False,False,True,False,False
4764,47,16,11,6,13,456,15,False,False,True,False,True
38658,41,57,19,10,8,682,3,True,False,True,False,False
28602,33,31,3,1,19,237,5,True,True,False,True,False
58576,35,34,8,8,16,316,21,True,False,True,True,False
14046,62,8,12,2,20,553,28,False,True,False,True,False
29506,48,1,11,8,28,689,22,True,False,True,False,False
43236,41,19,5,8,1,792,11,True,False,True,True,False
21494,31,8,16,3,15,417,21,False,True,False,True,False
54240,59,25,12,5,24,496,13,True,False,False,False,False
31873,48,29,7,1,4,737,30,True,True,False,False,True
26419,30,27,20,9,7,554,21,True,True,False,False,False
10484,32,25,9,0,4,549,18,False,False,False,True,False
39242,57,12,24,6,6,124,26,True,False,True,True,False
3908,18,55,25,8,20,947,3,False,False,False,True,False
2348,65,30,15,0,10,994,12,True,False,True,False,True
45885,61,27,6,8,18,990,17,False,True,False,True,False
63511,40,55,11,8,17,709,29,False,True,False,False,False
18666,55,17,16,1,7,902,17,False,False,True,True,False
52874,54,46,17,5,27,565,3,True,False,True,True,False
62812,36,42,14,8,16,213,8,False,False,True,True,False
38337,23,19,20,10,5,622,6,True,False,False,True,False
4018,31,5,21,1,14,246,28,True,False,False,True,False
33968,31,44,28,10,22,680,16,True,False,False,True,False
6175,45,21,6,9,26,324,13,True,True,False,True,False
57912,30,60,20,7,28,852,30,True,True,False,False,True
37181,46,37,25,8,0,703,23,False,False,False,True,False
37983,18,8,19,10,18,893,2,False,True,False,False,True
56073,27,16,14,4,27,212,19,False,False,False,True,False
27140,34,26,28,0,0,672,27,True,True,False,True,False
57099,45,8,2,2,23,810,13,False,False,False,True,False
29469,35,33,2,6,27,554,22,True,False,False,False,True
28901,45,24,11,10,13,552,8,False,False,True,False,False
45236,62,1,13,0,17,636,11,True,False,False,False,False
35709,60,56,18,3,6,307,21,True,False,False,False,True
26932,40,52,13,0,27,368,29,False,False,True,True,False
4398,60,33,14,3,12,214,29,False,False,False,False,True
30465,64,55,25,4,6,262,25,True,False,True,True,False
43977,35,27,16,8,18,629,15,False,True,False,False,False
42653,36,14,16,8,25,959,26,True,False,True,False,True
54519,65,51,28,10,18,841,26,False,True,False,False,True
411,44,45,26,3,1,927,9,True,False,True,False,False
13468,60,6,1,10,2,411,13,True,False,True,False,False
48839,59,31,16,9,18,129,15,False,True,False,False,True
4118,18,55,23,7,4,984,3,True,False,False,True,False
17073,33,50,12,2,10,155,2,True,True,False,False,True
52291,23,56,23,5,20,958,20,True,True,False,False,False
43198,54,30,5,8,7,517,11,True,False,True,False,True
47331,56,53,18,5,25,668,29,False,True,False,False,False
53608,53,20,2,10,11,228,21,True,False,False,False,True
61498,44,48,1,7,26,792,14,True,False,False,True,False
53421,18,24,27,9,26,984,3,True,False,True,False,True
50330,18,41,18,7,27,215,4,False,True,False,False,True
50086,25,53,3,10,29,862,8,True,False,True,True,False
6101,49,45,13,5,6,867,7,False,True,False,True,False
11898,18,14,3,7,2,155,30,True,True,False,False,False
20763,24,43,6,5,10,822,27,True,False,False,True,False
51699,25,47,25,10,16,672,16,False,False,True,False,False
29936,41,23,23,7,8,134,24,False,False,False,False,False
6521,19,4,17,7,21,839,17,True,True,False,False,False
62370,43,43,25,8,30,165,2,False,False,True,True,False
36019,43,2,14,3,26,754,14,True,False,True,True,False
6104,42,54,5,10,5,808,6,False,False,True,False,False
52421,52,2,5,7,24,334,6,False,True,False,False,True
889,31,46,12,2,27,591,7,True,True,False,False,True
51379,23,31,26,6,23,515,24,True,True,False,False,True
18615,42,29,23,7,29,306,17,False,False,False,False,True
5441,37,23,23,6,2,411,30,False,False,False,False,True
44098,23,1,14,5,17,443,3,False,False,False,False,False
23331,63,38,7,3,22,643,23,False,False,False,False,False
13936,59,32,22,10,9,922,25,True,True,False,False,False
56134,55,39,11,1,29,494,13,False,False,False,False,False
48906,41,43,8,8,24,770,3,True,False,False,False,True
52113,48,54,21,7,24,592,30,True,False,False,False,False
13302,43,26,13,1,25,878,25,False,True,False,False,True
56829,27,15,4,5,21,334,3,False,False,False,False,False
14069,57,10,2,0,12,350,25,True,False,True,False,True
47537,31,57,30,5,25,306,3,True,False,False,False,True
53225,57,57,3,7,3,601,5,False,False,False,False,False
21548,44,34,22,4,14,765,25,False,False,False,False,False
36645,64,54,1,1,9,435,6,True,True,False,True,False
19369,58,44,26,4,9,913,15,True,True,False,True,False
11772,32,36,1,6,6,713,5,False,False,True,True,False
57496,65,46,25,8,24,347,8,True,False,True,False,True
29460,26,24,29,5,12,905,17,False,True,False,True,False
51806,37,4,16,3,27,739,14,False,False,True,True,False
49828,43,55,27,5,23,539,26,True,True,False,False,False
37431,46,11,1,1,29,620,10,False,True,False,True,False
19236,35,9,1,5,9,985,24,True,False,False,False,True
25699,25,34,3,6,29,938,2,False,False,False,False,True
23859,51,45,25,1,12,108,7,True,False,False,False,False
14056,38,47,9,2,22,348,8,False,False,False,False,True
14289,58,8,28,7,0,764,6,False,True,False,False,True
14988,65,33,26,2,12,347,23,True,False,True,True,False
16000,59,38,21,8,16,149,24,True,False,True,False,True
1955,49,42,23,7,19,261,10,False,False,True,True,False
38077,18,21,13,7,9,366,2,False,False,False,False,True
28826,62,24,7,1,26,446,7,True,False,True,False,True
34879,60,45,25,1,26,516,16,True,False,True,False,False
25396,31,7,4,4,23,547,11,True,True,False,False,False
63164,62,31,4,5,4,199,30,True,False,False,True,False
33665,62,11,9,6,19,708,30,False,True,False,False,True
36335,57,1,24,10,27,296,11,False,True,False,False,True
58299,39,32,16,6,17,296,3,True,False,True,False,False
58788,35,59,7,8,22,601,27,True,True,False,False,False
36534,21,9,1,6,14,675,25,True,False,True,False,True
44147,38,54,14,7,24,984,26,True,False,True,True,False
41016,48,29,21,6,16,388,14,False,False,True,False,True
14598,26,15,19,0,12,858,10,False,False,False,True,False
34614,24,5,5,10,8,638,9,False,False,False,True,False
665,24,39,4,2,2,861,27,True,False,False,False,True
45973,32,51,14,7,22,795,24,False,False,False,True,False
52318,58,53,22,5,19,451,24,True,False,False,False,False
16615,29,25,3,1,6,687,10,True,False,True,True,False
55304,45,26,7,10,16,588,4,True,False,False,False,False
54391,61,40,4,9,20,952,17,False,True,False,False,False
5736,63,5,18,10,10,850,22,False,False,False,True,False
28367,52,1,10,2,4,883,6,False,False,True,False,False
33257,59,51,12,10,6,428,10,True,False,False,True,False
56391,32,12,27,0,24,578,24,False,False,True,True,False
42066,30,1,11,6,14,869,19,False,False,True,False,False
24399,27,60,1,7,11,225,23,False,False,False,True,False
53543,54,11,17,2,29,132,20,False,False,True,False,False
34434,26,43,3,5,5,826,7,True,False,True,True,False
47972,31,24,8,8,29,129,10,True,True,False,False,False
20270,46,3,13,4,30,414,24,True,False,False,True,False
25712,18,45,22,6,21,772,6,True,True,False,True,False
32441,22,10,23,9,22,246,8,True,True,False,False,True
53882,28,20,22,8,24,157,6,False,False,False,True,False
9861,34,6,24,10,2,838,2,True,False,True,False,False
4107,34,55,1,6,23,946,4,False,True,False,True,False
60577,65,4,20,4,24,476,10,False,False,False,True,False
41756,35,45,28,4,2,730,6,False,False,True,True,False
60710,31,60,7,9,17,547,28,False,False,True,False,True
55407,58,47,21,1,25,507,7,False,False,True,True,False
57934,42,43,23,7,26,669,15,True,False,False,True,False
19278,57,49,13,9,7,434,24,False,False,True,False,True
54055,36,24,24,5,22,957,23,False,True,False,True,False
1152,39,23,24,0,0,803,30,False,False,False,False,False
25732,20,60,15,3,0,882,2,False,True,False,False,False
17685,30,60,18,8,11,321,28,True,True,False,True,False
6499,32,52,26,9,18,791,14,True,False,True,True,False
38331,34,27,2,7,21,930,17,False,True,False,False,True
25250,52,44,18,3,13,149,23,True,False,True,False,False
36319,30,21,1,9,26,196,27,False,True,False,True,False
22755,43,10,8,6,4,728,24,False,False,False,False,True
24144,45,40,4,0,1,353,17,False,False,False,False,True
16670,50,15,22,0,3,252,18,False,True,False,False,False
24220,53,52,13,8,29,730,29,True,False,False,True,False
40986,44,51,7,1,13,610,7,False,False,True,True,False
34770,20,25,14,8,9,792,16,True,False,True,False,False
22413,63,15,2,2,21,997,14,False,False,True,False,False
6004,62,25,25,7,17,894,21,True,False,False,True,False
6981,26,46,1,1,21,695,17,True,False,False,False,True
5046,51,58,16,10,7,387,8,True,False,True,False,False
19023,46,49,24,8,27,737,15,True,False,False,False,True
52056,40,51,25,6,19,937,3,True,True,False,False,False
58464,40,60,8,10,22,257,26,True,False,True,True,False
55285,44,23,24,7,29,694,15,False,False,False,True,False
20954,61,3,19,1,22,440,12,True,False,False,False,False
17576,29,4,30,6,20,666,27,False,False,False,True,False
60330,57,46,17,5,24,543,22,True,False,False,False,True
38215,20,7,5,3,21,361,22,True,False,False,False,False
11341,39,39,13,1,4,529,23,True,True,False,False,False
52549,59,31,1,9,21,461,19,True,True,False,False,False
62825,51,35,2,8,23,867,22,False,False,False,False,False
28422,41,29,5,0,2,987,20,False,True,False,False,True
17679,58,23,3,4,12,670,1,False,False,True,False,True
5426,29,10,20,3,26,630,21,True,False,False,True,False
61793,61,45,5,5,3,168,4,False,False,False,False,False
47370,61,47,21,9,19,787,4,True,True,False,False,False
38477,20,29,27,0,16,337,21,False,False,False,False,True
6587,58,15,21,4,15,767,15,False,False,True,False,True
59231,32,18,22,10,22,246,30,False,False,True,False,False
18417,38,28,7,10,15,769,4,True,True,False,False,True
49822,23,12,7,5,28,338,11,False,False,True,False,True
12858,40,38,24,0,24,670,20,False,True,False,False,False
20226,46,27,12,3,5,934,20,True,True,False,False,False
48109,55,30,14,9,28,621,11,False,False,True,False,False
44063,22,31,7,4,8,142,13,True,True,False,False,True
30809,29,2,2,3,7,788,23,True,False,True,True,False
54918,51,44,6,8,18,884,16,True,False,False,False,True
28611,47,49,14,5,4,836,10,False,True,False,True,False
45428,31,24,2,9,16,432,4,False,True,False,False,True
38921,52,20,10,0,28,823,9,False,False,True,False,True
35392,24,22,7,6,8,514,28,False,False,False,False,False
15405,56,19,15,3,4,245,13,False,True,False,False,False
46641,57,42,2,7,5,685,25,True,False,True,False,True
30184,26,43,2,3,7,679,30,False,False,False,False,False
18089,63,52,21,3,15,690,17,True,False,True,False,False
6908,45,8,16,6,11,461,21,False,False,False,False,True
38285,62,4,18,0,24,730,5,True,False,False,True,False
7169,56,34,16,2,0,451,27,False,False,True,False,False
58477,26,8,12,0,30,489,7,False,False,True,False,True
43142,61,52,12,0,25,463,5,True,False,False,False,False
4529,59,60,18,8,19,260,11,False,False,True,False,True
34075,46,33,29,0,12,961,12,False,True,False,False,True
23422,48,37,22,10,23,620,30,False,False,False,False,False
55752,46,56,22,4,29,996,5,False,False,True,True,False
3239,63,34,3,10,11,797,20,False,False,True,False,True
47949,56,40,21,10,20,487,17,False,False,True,True,False
41046,38,5,11,4,18,767,4,False,True,False,False,False
27783,30,18,13,2,27,204,10,True,False,True,False,False
6058,48,41,10,1,11,948,22,False,False,True,True,False
34433,59,39,23,5,16,334,24,True,False,True,True,False
33559,22,37,26,0,14,173,13,True,True,False,False,True
35803,19,52,22,8,18,785,13,False,True,False,False,True
13407,38,31,30,6,23,804,27,True,False,True,True,False
33538,65,32,7,4,24,780,18,True,False,True,True,False
17159,63,12,13,5,12,251,21,False,False,False,False,False
14426,22,51,8,9,18,847,16,False,False,True,True,False
17649,23,55,14,5,12,551,12,False,False,True,True,False
34543,45,39,30,5,4,185,10,True,False,True,True,False
36567,53,46,24,0,21,434,20,True,False,True,True,False
40107,29,30,15,0,26,754,23,False,False,False,False,True
57786,30,48,21,5,21,271,28,True,False,False,True,False
61312,59,43,18,5,26,808,16,True,True,False,False,False
13281,46,29,22,4,7,453,20,False,False,True,True,False
18609,50,17,21,1,16,573,18,True,True,False,False,False
34658,40,7,13,4,25,577,13,False,True,False,True,False
55793,44,37,27,7,29,943,15,True,True,False,False,True
6072,56,49,5,6,22,333,25,False,False,True,False,False
28507,30,21,13,7,3,492,7,True,False,False,False,False
47551,30,56,22,6,27,168,23,True,False,False,True,False
13689,57,34,3,2,13,154,30,False,False,True,False,False
2637,38,53,27,9,1,382,17,True,False,True,True,False
22749,64,14,23,6,16,392,15,True,False,True,False,True
25176,37,29,10,2,29,596,22,False,True,False,True,False
26526,39,16,12,0,15,445,28,True,False,False,False,False
2478,46,20,30,5,8,201,4,False,False,True,False,True
26598,39,3,23,3,14,873,8,True,False,True,False,False
60164,65,16,3,5,10,788,25,False,False,True,False,False
28256,48,53,9,10,24,760,28,True,True,False,False,True
34135,63,45,15,4,30,650,28,True,False,True,True,False
30455,40,53,11,4,18,680,18,False,True,False,True,False
33521,39,46,23,1,22,235,15,True,True,False,True,False
43654,34,49,26,0,23,262,17,True,False,False,False,False
55552,37,24,17,0,27,561,29,False,False,True,True,False
23569,45,57,28,3,18,543,12,True,True,False,True,False
34902,44,47,28,5,5,314,15,False,True,False,False,True
52668,53,57,2,7,22,107,18,False,True,False,False,True
1667,62,50,14,9,29,668,3,False,True,False,False,False
64231,61,24,6,7,28,382,22,False,False,True,False,False
48120,52,60,12,7,30,503,5,False,False,False,False,False
23401,39,4,15,10,21,278,27,True,False,False,False,False
49354,35,59,22,10,30,835,23,False,False,True,False,True
49880,47,51,2,10,16,793,26,False,False,True,True,False
12289,35,8,10,0,4,619,27,False,False,False,False,True
53523,21,33,4,8,17,949,18,False,True,False,False,False
16207,25,36,26,10,25,698,13,False,False,True,False,True
50392,31,4,17,5,23,106,15,False,False,True,False,False
27410,41,27,30,6,7,221,2,False,True,False,False,False
55165,31,13,2,8,21,228,8,False,False,False,False,True
20088,53,14,6,3,30,501,6,True,True,False,True,False
49800,25,12,7,7,28,291,19,False,True,False,False,False
36142,53,9,14,2,13,409,11,True,False,True,False,True
7032,60,42,19,5,4,845,22,True,False,True,False,True
12895,55,46,27,6,20,217,3,False,False,False,False,False
55352,30,27,30,6,19,170,30,True,True,False,False,False
63084,22,40,8,3,21,119,18,False,False,False,False,False
6562,51,5,22,6,28,266,2,False,False,True,False,False
37720,50,26,19,5,26,785,22,True,False,True,False,True
834,57,9,26,9,10,416,24,False,True,False,False,False
5725,37,46,13,6,26,699,27,False,False,False,True,False
57419,18,32,22,6,30,348,4,False,False,False,False,False
37589,20,45,16,1,29,333,19,True,False,True,True,False
62804,53,17,1,10,13,663,29,True,False,False,False,False
